    h   V  C    x      y      Y
   10G  3 14 0.1161 0.4192  6.555
   10G  3 16 0.0925 0.4275  6.555
   10G  3 18 0.0718 0.4340  6.555
   10G  3 20 0.0528 0.4393  6.555
   10G  3 22 0.0333 0.4444  6.555
 2.5BG  3  2 0.2799 0.3271  6.555
 2.5BG  3  4 0.2437 0.3386  6.555
 2.5BG  3  6 0.2132 0.3468  6.555
 2.5BG  3  8 0.1845 0.3531  6.555
 2.5BG  3 10 0.1552 0.3580  6.555
 2.5BG  3 12 0.1288 0.3620  6.555
 2.5BG  3 14 0.1051 0.3648  6.555
 2.5BG  3 16 0.0843 0.3667  6.555
 2.5BG  3 18 0.0648 0.3682  6.555
 2.5BG  3 20 0.0482 0.3695  6.555
   5BG  3  2 0.2742 0.3192  6.555
   5BG  3  4 0.2343 0.3200  6.555
   5BG  3  6 0.2020 0.3188  6.555
   5BG  3  8 0.1703 0.3159  6.555
   5BG  3 10 0.1410 0.3118  6.555
   5BG  3 12 0.1158 0.3071  6.555
   5BG  3 14 0.0940 0.3027  6.555
   5BG  3 16 0.0735 0.2979  6.555
   5BG  3 18 0.0580 0.2940  6.555
 7.5BG  3  2 0.2699 0.3120  6.555
 7.5BG  3  4 0.2272 0.3041  6.555
 7.5BG  3  6 0.1928 0.2958  6.555
 7.5BG  3  8 0.1620 0.2872  6.555
 7.5BG  3 10 0.1326 0.2784  6.555
 7.5BG  3 12 0.1086 0.2706  6.555
 7.5BG  3 14 0.0874 0.2627  6.555
 7.5BG  3 16 0.0691 0.2559  6.555
  10BG  3  2 0.2660 0.3050  6.555
  10BG  3  4 0.2221 0.2886  6.555
  10BG  3  6 0.1861 0.2722  6.555
  10BG  3  8 0.1551 0.2571  6.555
  10BG  3 10 0.1250 0.2411  6.555
  10BG  3 12 0.1018 0.2281  6.555
  10BG  3 14 0.0798 0.2151  6.555
  2.5B  3  2 0.2636 0.2983  6.555
  2.5B  3  4 0.2183 0.2748  6.555
  2.5B  3  6 0.1826 0.2536  6.555
  2.5B  3  8 0.1511 0.2331  6.555
  2.5B  3 10 0.1220 0.2132  6.555
  2.5B  3 12 0.0989 0.1963  6.555
    5B  3  2 0.2617 0.2921  6.555
    5B  3  4 0.2176 0.2632  6.555
    5B  3  6 0.1835 0.2375  6.555
    5B  3  8 0.1527 0.2119  6.555
    5B  3 10 0.1259 0.1879  6.555
    5B  3 12 0.1042 0.1681  6.555
  7.5B  3  2 0.2616 0.2857  6.555
  7.5B  3  4 0.2200 0.2536  6.555
  7.5B  3  6 0.1875 0.2258  6.555
  7.5B  3  8 0.1583 0.1987  6.555
  7.5B  3 10 0.1343 0.1756  6.555
  7.5B  3 12 0.1131 0.1542  6.555
   10B  3  2 0.2631 0.2801  6.555
   10B  3  4 0.2246 0.2467  6.555
   10B  3  6 0.1933 0.2173  6.555
   10B  3  8 0.1658 0.1905  6.555
   10B  3 10 0.1432 0.1675  6.555
   10B  3 12 0.1228 0.1460  6.555
   10B  3 14 0.1065 0.1285  6.555
 2.5PB  3  2 0.2663 0.2756  6.555
 2.5PB  3  4 0.2312 0.2405  6.555
 2.5PB  3  6 0.2022 0.2101  6.555
 2.5PB  3  8 0.1780 0.1833  6.555
 2.5PB  3 10 0.1576 0.1600  6.555
 2.5PB  3 12 0.1398 0.1395  6.555
 2.5PB  3 14 0.1251 0.1218  6.555
   5PB  3  2 0.2708 0.2719  6.555
   5PB  3  4 0.2393 0.2361  6.555
   5PB  3  6 0.2122 0.2052  6.555
   5PB  3  8 0.1908 0.1799  6.555
   5PB  3 10 0.1718 0.1562  6.555
   5PB  3 12 0.1557 0.1356  6.555
   5PB  3 14 0.1431 0.1184  6.555
   5PB  3 16 0.1318 0.1024  6.555
   5PB  3 18 0.1228 0.0895  6.555
 7.5PB  3  2 0.2777 0.2687  6.555
 7.5PB  3  4 0.2520 0.2319  6.555
 7.5PB  3  6 0.2311 0.2010  6.555
 7.5PB  3  8 0.2149 0.1761  6.555
 7.5PB  3 10 0.2005 0.1536  6.555
 7.5PB  3 12 0.1903 0.1353  6.555
 7.5PB  3 14 0.1824 0.1188  6.555
 7.5PB  3 16 0.1765 0.1048  6.555
 7.5PB  3 18 0.1730 0.0948  6.555
 7.5PB  3 20 0.1702 0.0867  6.555
 7.5PB  3 22 0.1677 0.0782  6.555
 7.5PB  3 24 0.1658 0.0711  6.555
 7.5PB  3 26 0.1642 0.0655  6.555
 7.5PB  3 28 0.1632 0.0609  6.555
 7.5PB  3 30 0.1621 0.0556  6.555
 7.5PB  3 32 0.1612 0.0511  6.555
 7.5PB  3 34 0.1608 0.0480  6.555
  10PB  3  2 0.2847 0.2670  6.555
  10PB  3  4 0.2660 0.2319  6.555
  10PB  3  6 0.2511 0.2031  6.555
  10PB  3  8 0.2387 0.1786  6.555
  10PB  3 10 0.2278 0.1565  6.555
  10PB  3 12 0.2206 0.1407  6.555
  10PB  3 14 0.2142 0.1250  6.555
  10PB  3 16 0.2092 0.1118  6.555
  10PB  3 18 0.2060 0.1020  6.555
  10PB  3 20 0.2030 0.0930  6.555
  10PB  3 22 0.2004 0.0847  6.555
  10PB  3 24 0.1982 0.0772  6.555
  10PB  3 26 0.1963 0.0708  6.555
  10PB  3 28 0.1950 0.0650  6.555
  10PB  3 30 0.1938 0.0599  6.555
  10PB  3 32 0.1926 0.0542  6.555
  10PB  3 34 0.1918 0.0503  6.555
  2.5P  3  2 0.2922 0.2680  6.555
  2.5P  3  4 0.2792 0.2342  6.555
  2.5P  3  6 0.2691 0.2072  6.555
  2.5P  3  8 0.2615 0.1845  6.555
  2.5P  3 10 0.2548 0.1638  6.555
  2.5P  3 12 0.2498 0.1480  6.555
  2.5P  3 14 0.2449 0.1325  6.555
  2.5P  3 16 0.2410 0.1198  6.555
  2.5P  3 18 0.2380 0.1094  6.555
  2.5P  3 20 0.2354 0.1003  6.555
  2.5P  3 22 0.2329 0.0911  6.555
  2.5P  3 24 0.2305 0.0832  6.555
  2.5P  3 26 0.2286 0.0765  6.555
  2.5P  3 28 0.2268 0.0698  6.555
  2.5P  3 30 0.2252 0.0638  6.555
  2.5P  3 32 0.2242 0.0587  6.555
  2.5P  3 34 0.2230 0.0543  6.555
    5P  3  2 0.2997 0.2700  6.555
    5P  3  4 0.2928 0.2386  6.555
    5P  3  6 0.2870 0.2135  6.555
    5P  3  8 0.2819 0.1910  6.555
    5P  3 10 0.2772 0.1707  6.555
    5P  3 12 0.2739 0.1539  6.555
    5P  3 14 0.2707 0.1397  6.555
    5P  3 16 0.2680 0.1272  6.555
    5P  3 18 0.2657 0.1163  6.555
    5P  3 20 0.2639 0.1074  6.555
    5P  3 22 0.2620 0.0978  6.555
    5P  3 24 0.2602 0.0891  6.555
    5P  3 26 0.2590 0.0822  6.555
    5P  3 28 0.2579 0.0750  6.555
    5P  3 30 0.2568 0.0690  6.555
    5P  3 32 0.2557 0.0630  6.555
  7.5P  3  2 0.3088 0.2740  6.555
  7.5P  3  4 0.3072 0.2448  6.555
  7.5P  3  6 0.3057 0.2208  6.555
  7.5P  3  8 0.3037 0.1981  6.555
  7.5P  3 10 0.3020 0.1794  6.555
  7.5P  3 12 0.3003 0.1618  6.555
  7.5P  3 14 0.2992 0.1475  6.555
  7.5P  3 16 0.2981 0.1356  6.555
  7.5P  3 18 0.2969 0.1239  6.555
  7.5P  3 20 0.2961 0.1151  6.555
  7.5P  3 22 0.2953 0.1057  6.555
  7.5P  3 24 0.2944 0.0967  6.555
  7.5P  3 26 0.2938 0.0892  6.555
  7.5P  3 28 0.2930 0.0812  6.555
  7.5P  3 30 0.2922 0.0750  6.555
   10P  3  2 0.3170 0.2790  6.555
   10P  3  4 0.3214 0.2517  6.555
   10P  3  6 0.3243 0.2293  6.555
   10P  3  8 0.3269 0.2075  6.555
   10P  3 10 0.3286 0.1889  6.555
   10P  3 12 0.3301 0.1715  6.555
   10P  3 14 0.3309 0.1572  6.555
   10P  3 16 0.3320 0.1456  6.555
   10P  3 18 0.3329 0.1332  6.555
   10P  3 20 0.3332 0.1240  6.555
   10P  3 22 0.3340 0.1146  6.555
   10P  3 24 0.3341 0.1055  6.555
   10P  3 26 0.3343 0.0978  6.555
 2.5RP  3  2 0.3272 0.2861  6.555
 2.5RP  3  4 0.3400 0.2624  6.555
 2.5RP  3  6 0.3501 0.2425  6.555
 2.5RP  3  8 0.3598 0.2233  6.555
 2.5RP  3 10 0.3681 0.2054  6.555
 2.5RP  3 12 0.3754 0.1898  6.555
 2.5RP  3 14 0.3818 0.1758  6.555
 2.5RP  3 16 0.3876 0.1629  6.555
 2.5RP  3 18 0.3929 0.1506  6.555
 2.5RP  3 20 0.3969 0.1413  6.555
 2.5RP  3 22 0.4018 0.1304  6.555
   5RP  3  2 0.3370 0.2940  6.555
   5RP  3  4 0.3586 0.2742  6.555
   5RP  3  6 0.3765 0.2569  6.555
   5RP  3  8 0.3930 0.2395  6.555
   5RP  3 10 0.4073 0.2235  6.555
   5RP  3 12 0.4199 0.2089  6.555
   5RP  3 14 0.4313 0.1944  6.555
   5RP  3 16 0.4418 0.1809  6.555
   5RP  3 18 0.4503 0.1695  6.555
   5RP  3 20 0.4577 0.1593  6.555
 7.5RP  3  2 0.3450 0.3001  6.555
 7.5RP  3  4 0.3739 0.2851  6.555
 7.5RP  3  6 0.3990 0.2708  6.555
 7.5RP  3  8 0.4234 0.2556  6.555
 7.5RP  3 10 0.4445 0.2419  6.555
 7.5RP  3 12 0.4654 0.2273  6.555
 7.5RP  3 14 0.4831 0.2140  6.555
 7.5RP  3 16 0.4991 0.2011  6.555
 7.5RP  3 18 0.5130 0.1893  6.555
  10RP  4  2 0.3417 0.3106 12.000
  10RP  4  4 0.3715 0.3042 12.000
  10RP  4  6 0.3999 0.2972 12.000
  10RP  4  8 0.4282 0.2890 12.000
  10RP  4 10 0.4528 0.2811 12.000
  10RP  4 12 0.4789 0.2717 12.000
  10RP  4 14 0.5020 0.2623 12.000
  10RP  4 16 0.5234 0.2530 12.000
  10RP  4 18 0.5466 0.2424 12.000
  10RP  4 20 0.5674 0.2319 12.000
  2.5R  4  2 0.3461 0.3150 12.000
  2.5R  4  4 0.3806 0.3125 12.000
  2.5R  4  6 0.4141 0.3085 12.000
  2.5R  4  8 0.4472 0.3031 12.000
  2.5R  4 10 0.4774 0.2969 12.000
  2.5R  4 12 0.5072 0.2897 12.000
  2.5R  4 14 0.5369 0.2810 12.000
  2.5R  4 16 0.5620 0.2724 12.000
    5R  4  2 0.3508 0.3200 12.000
    5R  4  4 0.3916 0.3223 12.000
    5R  4  6 0.4299 0.3226 12.000
    5R  4  8 0.4690 0.3209 12.000
    5R  4 10 0.5043 0.3176 12.000
    5R  4 12 0.5385 0.3129 12.000
    5R  4 14 0.5734 0.3057 12.000
    5R  4 16 0.6039 0.2978 12.000
    5R  4 18 0.6329 0.2881 12.000
  7.5R  4  2 0.3538 0.3236 12.000
  7.5R  4  4 0.3990 0.3300 12.000
  7.5R  4  6 0.4415 0.3340 12.000
  7.5R  4  8 0.4850 0.3359 12.000
  7.5R  4 10 0.5235 0.3351 12.000
  7.5R  4 12 0.5603 0.3321 12.000
  7.5R  4 14 0.5959 0.3269 12.000
  7.5R  4 16 0.6260 0.3192 12.000
  7.5R  4 18 0.6538 0.3100 12.000
  7.5R  4 20 0.6806 0.2988 12.000
   10R  4  2 0.3582 0.3294 12.000
   10R  4  4 0.4078 0.3412 12.000
   10R  4  6 0.4535 0.3500 12.000
   10R  4  8 0.4995 0.3557 12.000
   10R  4 10 0.5418 0.3580 12.000
   10R  4 12 0.5801 0.3588 12.000
   10R  4 14 0.6154 0.3568 12.000
   10R  4 16 0.6409 0.3533 12.000
 2.5YR  4  2 0.3624 0.3367 12.000
 2.5YR  4  4 0.4141 0.3539 12.000
 2.5YR  4  6 0.4612 0.3674 12.000
 2.5YR  4  8 0.5071 0.3777 12.000
 2.5YR  4 10 0.5475 0.3856 12.000
 2.5YR  4 12 0.5809 0.3910 12.000
   5YR  4  2 0.3651 0.3442 12.000
   5YR  4  4 0.4187 0.3679 12.000
   5YR  4  6 0.4651 0.3859 12.000
   5YR  4  8 0.5070 0.3994 12.000
   5YR  4 10 0.5432 0.4097 12.000
   5YR  4 12 0.5729 0.4169 12.000
 7.5YR  4  2 0.3662 0.3504 12.000
 7.5YR  4  4 0.4208 0.3809 12.000
 7.5YR  4  6 0.4655 0.4029 12.000
 7.5YR  4  8 0.5038 0.4204 12.000
 7.5YR  4 10 0.5356 0.4342 12.000
  10YR  4  2 0.3660 0.3590 12.000
  10YR  4  4 0.4189 0.3948 12.000
  10YR  4  6 0.4618 0.4213 12.000
  10YR  4  8 0.4965 0.4414 12.000
  10YR  4 10 0.5250 0.4573 12.000
  2.5Y  4  2 0.3633 0.3654 12.000
  2.5Y  4  4 0.4138 0.4076 12.000
  2.5Y  4  6 0.4542 0.4391 12.000
  2.5Y  4  8 0.4865 0.4625 12.000
  2.5Y  4 10 0.5120 0.4800 12.000
    5Y  4  2 0.3590 0.3701 12.000
    5Y  4  4 0.4069 0.4188 12.000
    5Y  4  6 0.4451 0.4550 12.000
    5Y  4  8 0.4745 0.4810 12.000
  7.5Y  4  2 0.3542 0.3727 12.000
  7.5Y  4  4 0.3982 0.4272 12.000
  7.5Y  4  6 0.4331 0.4688 12.000
  7.5Y  4  8 0.4595 0.4990 12.000
   10Y  4  2 0.3436 0.3732 12.000
   10Y  4  4 0.3871 0.4321 12.000
   10Y  4  6 0.4190 0.4795 12.000
   10Y  4  8 0.4430 0.5153 12.000
 2.5GY  4  2 0.3382 0.3706 12.000
 2.5GY  4  4 0.3708 0.4329 12.000
 2.5GY  4  6 0.3968 0.4857 12.000
 2.5GY  4  8 0.4174 0.5300 12.000
   5GY  4  2 0.3312 0.3678 12.000
   5GY  4  4 0.3538 0.4284 12.000
   5GY  4  6 0.3718 0.4852 12.000
   5GY  4  8 0.3868 0.5384 12.000
   5GY  4 10 0.3983 0.5850 12.000
 7.5GY  4  2 0.3185 0.3604 12.000
 7.5GY  4  4 0.3281 0.4157 12.000
 7.5GY  4  6 0.3355 0.4739 12.000
 7.5GY  4  8 0.3400 0.5348 12.000
 7.5GY  4 10 0.3395 0.5913 12.000
 7.5GY  4 12 0.3348 0.6468 12.000
  10GY  4  2 0.3109 0.3550 12.000
  10GY  4  4 0.3100 0.4018 12.000
  10GY  4  6 0.3069 0.4550 12.000
  10GY  4  8 0.3008 0.5095 12.000
  10GY  4 10 0.2908 0.5672 12.000
  10GY  4 12 0.2758 0.6282 12.000
  10GY  4 14 0.2590 0.6858 12.000
  10GY  4 16 0.2422 0.7360 12.000
  2.5G  4  2 0.3012 0.3470 12.000
  2.5G  4  4 0.2891 0.3821 12.000
  2.5G  4  6 0.2735 0.4215 12.000
  2.5G  4  8 0.2561 0.4597 12.000
  2.5G  4 10 0.2355 0.5006 12.000
  2.5G  4 12 0.2128 0.5425 12.000
  2.5G  4 14 0.1909 0.5779 12.000
  2.5G  4 16 0.1682 0.6111 12.000
  2.5G  4 18 0.1446 0.6431 12.000
  2.5G  4 20 0.1230 0.6706 12.000
  2.5G  4 22 0.1009 0.6975 12.000
  2.5G  4 24 0.0760 0.7250 12.000
  2.5G  4 26 0.0528 0.7502 12.000
    5G  4  2 0.2959 0.3417 12.000
    5G  4  4 0.2781 0.3704 12.000
    5G  4  6 0.2581 0.3992 12.000
    5G  4  8 0.2359 0.4266 12.000
    5G  4 10 0.2115 0.4532 12.000
    5G  4 12 0.1843 0.4807 12.000
    5G  4 14 0.1627 0.5015 12.000
    5G  4 16 0.1402 0.5214 12.000
    5G  4 18 0.1188 0.5400 12.000
    5G  4 20 0.1018 0.5543 12.000
    5G  4 22 0.0841 0.5684 12.000
    5G  4 24 0.0614 0.5857 12.000
    5G  4 26 0.0407 0.6010 12.000
  7.5G  4  2 0.2919 0.3371 12.000
  7.5G  4  4 0.2702 0.3602 12.000
  7.5G  4  6 0.2467 0.3822 12.000
  7.5G  4  8 0.2232 0.4022 12.000
  7.5G  4 10 0.1989 0.4219 12.000
  7.5G  4 12 0.1706 0.4419 12.000
  7.5G  4 14 0.1500 0.4562 12.000
  7.5G  4 16 0.1293 0.4703 12.000
  7.5G  4 18 0.1086 0.4842 12.000
  7.5G  4 20 0.0928 0.4942 12.000
  7.5G  4 22 0.0770 0.5040 12.000
  7.5G  4 24 0.0581 0.5151 12.000
  7.5G  4 26 0.0392 0.5258 12.000
   10G  4  2 0.2880 0.3327 12.000
   10G  4  4 0.2628 0.3498 12.000
   10G  4  6 0.2374 0.3655 12.000
   10G  4  8 0.2124 0.3799 12.000
   10G  4 10 0.1876 0.3933 12.000
   10G  4 12 0.1602 0.4070 12.000
   10G  4 14 0.1398 0.4168 12.000
   10G  4 16 0.1212 0.4245 12.000
   10G  4 18 0.1006 0.4330 12.000
   10G  4 20 0.0850 0.4388 12.000
   10G  4 22 0.0702 0.4440 12.000
   10G  4 24 0.0553 0.4492 12.000
   10G  4 26 0.0400 0.4545 12.000
 2.5BG  4  2 0.2840 0.3270 12.000
 2.5BG  4  4 0.2552 0.3375 12.000
 2.5BG  4  6 0.2278 0.3463 12.000
 2.5BG  4  8 0.2006 0.3540 12.000
 2.5BG  4 10 0.1738 0.3600 12.000
 2.5BG  4 12 0.1492 0.3649 12.000
 2.5BG  4 14 0.1283 0.3688 12.000
 2.5BG  4 16 0.1102 0.3720 12.000
 2.5BG  4 18 0.0915 0.3754 12.000
 2.5BG  4 20 0.0768 0.3773 12.000
 2.5BG  4 22 0.0636 0.3788 12.000
 2.5BG  4 24 0.0510 0.3800 12.000
   5BG  4  2 0.2799 0.3208 12.000
   5BG  4  4 0.2480 0.3232 12.000
   5BG  4  6 0.2182 0.3240 12.000
   5BG  4  8 0.1890 0.3234 12.000
   5BG  4 10 0.1618 0.3219 12.000
   5BG  4 12 0.1379 0.3198 12.000
   5BG  4 14 0.1170 0.3170 12.000
   5BG  4 16 0.0992 0.3141 12.000
   5BG  4 18 0.0828 0.3108 12.000
   5BG  4 20 0.0675 0.3075 12.000
 7.5BG  4  2 0.2764 0.3148 12.000
 7.5BG  4  4 0.2429 0.3108 12.000
 7.5BG  4  6 0.2113 0.3052 12.000
 7.5BG  4  8 0.1815 0.2985 12.000
 7.5BG  4 10 0.1540 0.2910 12.000
 7.5BG  4 12 0.1298 0.2840 12.000
 7.5BG  4 14 0.1092 0.2774 12.000
 7.5BG  4 16 0.0922 0.2718 12.000
 7.5BG  4 18 0.0768 0.2667 12.000
  10BG  4  2 0.2740 0.3091 12.000
  10BG  4  4 0.2384 0.2984 12.000
  10BG  4  6 0.2065 0.2863 12.000
  10BG  4  8 0.1760 0.2730 12.000
  10BG  4 10 0.1480 0.2600 12.000
  10BG  4 12 0.1248 0.2484 12.000
  10BG  4 14 0.1033 0.2376 12.000
  10BG  4 16 0.0888 0.2298 12.000
  2.5B  4  2 0.2727 0.3038 12.000
  2.5B  4  4 0.2360 0.2872 12.000
  2.5B  4  6 0.2048 0.2708 12.000
  2.5B  4  8 0.1737 0.2524 12.000
  2.5B  4 10 0.1463 0.2354 12.000
  2.5B  4 12 0.1247 0.2209 12.000
  2.5B  4 14 0.1027 0.2057 12.000
  2.5B  4 16 0.0900 0.1973 12.000
    5B  4  2 0.2723 0.2992 12.000
    5B  4  4 0.2363 0.2782 12.000
    5B  4  6 0.2060 0.2572 12.000
    5B  4  8 0.1759 0.2345 12.000
    5B  4 10 0.1512 0.2148 12.000
    5B  4 12 0.1299 0.1963 12.000
    5B  4 14 0.1098 0.1785 12.000
  7.5B  4  2 0.2733 0.2947 12.000
  7.5B  4  4 0.2388 0.2704 12.000
  7.5B  4  6 0.2102 0.2470 12.000
  7.5B  4  8 0.1821 0.2232 12.000
  7.5B  4 10 0.1601 0.2028 12.000
  7.5B  4 12 0.1393 0.1837 12.000
  7.5B  4 14 0.1204 0.1655 12.000
   10B  4  2 0.2753 0.2910 12.000
   10B  4  4 0.2429 0.2648 12.000
   10B  4  6 0.2157 0.2407 12.000
   10B  4  8 0.1893 0.2160 12.000
   10B  4 10 0.1681 0.1954 12.000
   10B  4 12 0.1487 0.1760 12.000
   10B  4 14 0.1310 0.1580 12.000
   10B  4 16 0.1155 0.1416 12.000
 2.5PB  4  2 0.2782 0.2876 12.000
 2.5PB  4  4 0.2487 0.2597 12.000
 2.5PB  4  6 0.2235 0.2343 12.000
 2.5PB  4  8 0.1995 0.2094 12.000
 2.5PB  4 10 0.1805 0.1888 12.000
 2.5PB  4 12 0.1634 0.1698 12.000
 2.5PB  4 14 0.1473 0.1513 12.000
 2.5PB  4 16 0.1336 0.1349 12.000
 2.5PB  4 18 0.1218 0.1208 12.000
   5PB  4  2 0.2816 0.2842 12.000
   5PB  4  4 0.2562 0.2560 12.000
   5PB  4  6 0.2325 0.2300 12.000
   5PB  4  8 0.2103 0.2050 12.000
   5PB  4 10 0.1925 0.1843 12.000
   5PB  4 12 0.1773 0.1659 12.000
   5PB  4 14 0.1627 0.1479 12.000
   5PB  4 16 0.1504 0.1317 12.000
   5PB  4 18 0.1392 0.1167 12.000
   5PB  4 20 0.1288 0.1027 12.000
 7.5PB  4  2 0.2861 0.2819 12.000
 7.5PB  4  4 0.2657 0.2528 12.000
 7.5PB  4  6 0.2471 0.2266 12.000
 7.5PB  4  8 0.2304 0.2023 12.000
 7.5PB  4 10 0.2158 0.1811 12.000
 7.5PB  4 12 0.2037 0.1629 12.000
 7.5PB  4 14 0.1941 0.1468 12.000
 7.5PB  4 16 0.1861 0.1316 12.000
 7.5PB  4 18 0.1798 0.1185 12.000
 7.5PB  4 20 0.1742 0.1058 12.000
 7.5PB  4 22 0.1713 0.0980 12.000
 7.5PB  4 24 0.1684 0.0899 12.000
 7.5PB  4 26 0.1659 0.0825 12.000
  10PB  4  2 0.2911 0.2804 12.000
  10PB  4  4 0.2759 0.2522 12.000
  10PB  4  6 0.2618 0.2263 12.000
  10PB  4  8 0.2497 0.2038 12.000
  10PB  4 10 0.2388 0.1837 12.000
  10PB  4 12 0.2298 0.1659 12.000
  10PB  4 14 0.2220 0.1503 12.000
  10PB  4 16 0.2170 0.1373 12.000
  10PB  4 18 0.2120 0.1256 12.000
  10PB  4 20 0.2075 0.1140 12.000
  10PB  4 22 0.2048 0.1064 12.000
  10PB  4 24 0.2020 0.0985 12.000
  10PB  4 26 0.1994 0.0904 12.000
  10PB  4 28 0.1971 0.0840 12.000
  10PB  4 30 0.1952 0.0778 12.000
  2.5P  4  2 0.2962 0.2807 12.000
  2.5P  4  4 0.2855 0.2531 12.000
  2.5P  4  6 0.2763 0.2300 12.000
  2.5P  4  8 0.2685 0.2089 12.000
  2.5P  4 10 0.2619 0.1903 12.000
  2.5P  4 12 0.2559 0.1730 12.000
  2.5P  4 14 0.2509 0.1585 12.000
  2.5P  4 16 0.2467 0.1452 12.000
  2.5P  4 18 0.2430 0.1332 12.000
  2.5P  4 20 0.2394 0.1221 12.000
  2.5P  4 22 0.2371 0.1143 12.000
  2.5P  4 24 0.2348 0.1062 12.000
  2.5P  4 26 0.2322 0.0978 12.000
  2.5P  4 28 0.2302 0.0909 12.000
  2.5P  4 30 0.2285 0.0847 12.000
  2.5P  4 32 0.2265 0.0774 12.000
    5P  4  2 0.3022 0.2825 12.000
    5P  4  4 0.2958 0.2565 12.000
    5P  4  6 0.2903 0.2347 12.000
    5P  4  8 0.2855 0.2150 12.000
    5P  4 10 0.2814 0.1967 12.000
    5P  4 12 0.2778 0.1808 12.000
    5P  4 14 0.2747 0.1660 12.000
    5P  4 16 0.2718 0.1520 12.000
    5P  4 18 0.2693 0.1408 12.000
    5P  4 20 0.2670 0.1300 12.000
    5P  4 22 0.2652 0.1218 12.000
    5P  4 24 0.2635 0.1132 12.000
    5P  4 26 0.2618 0.1052 12.000
    5P  4 28 0.2600 0.0971 12.000
    5P  4 30 0.2588 0.0907 12.000
    5P  4 32 0.2574 0.0833 12.000
  7.5P  4  2 0.3093 0.2859 12.000
  7.5P  4  4 0.3084 0.2622 12.000
  7.5P  4  6 0.3076 0.2416 12.000
  7.5P  4  8 0.3066 0.2228 12.000
  7.5P  4 10 0.3056 0.2060 12.000
  7.5P  4 12 0.3045 0.1905 12.000
  7.5P  4 14 0.3035 0.1755 12.000
  7.5P  4 16 0.3028 0.1621 12.000
  7.5P  4 18 0.3016 0.1500 12.000
  7.5P  4 20 0.3010 0.1396 12.000
  7.5P  4 22 0.3001 0.1306 12.000
  7.5P  4 24 0.2993 0.1225 12.000
  7.5P  4 26 0.2986 0.1135 12.000
  7.5P  4 28 0.2979 0.1062 12.000
  7.5P  4 30 0.2969 0.0979 12.000
  7.5P  4 32 0.2962 0.0906 12.000
   10P  4  2 0.3162 0.2902 12.000
   10P  4  4 0.3210 0.2686 12.000
   10P  4  6 0.3248 0.2493 12.000
   10P  4  8 0.3280 0.2318 12.000
   10P  4 10 0.3306 0.2162 12.000
   10P  4 12 0.3331 0.2014 12.000
   10P  4 14 0.3351 0.1875 12.000
   10P  4 16 0.3370 0.1756 12.000
   10P  4 18 0.3386 0.1626 12.000
   10P  4 20 0.3400 0.1500 12.000
   10P  4 22 0.3411 0.1424 12.000
   10P  4 24 0.3421 0.1337 12.000
   10P  4 26 0.3428 0.1248 12.000
   10P  4 28 0.3432 0.1172 12.000
   10P  4 30 0.3440 0.1080 12.000
 2.5RP  4  2 0.3231 0.2951 12.000
 2.5RP  4  4 0.3340 0.2770 12.000
 2.5RP  4  6 0.3442 0.2595 12.000
 2.5RP  4  8 0.3533 0.2438 12.000
 2.5RP  4 10 0.3608 0.2301 12.000
 2.5RP  4 12 0.3683 0.2162 12.000
 2.5RP  4 14 0.3748 0.2039 12.000
 2.5RP  4 16 0.3807 0.1923 12.000
 2.5RP  4 18 0.3865 0.1802 12.000
 2.5RP  4 20 0.3926 0.1679 12.000
 2.5RP  4 22 0.3967 0.1593 12.000
 2.5RP  4 24 0.4011 0.1504 12.000
 2.5RP  4 26 0.4048 0.1428 12.000
   5RP  4  2 0.3310 0.3010 12.000
   5RP  4  4 0.3491 0.2872 12.000
   5RP  4  6 0.3671 0.2733 12.000
   5RP  4  8 0.3833 0.2600 12.000
   5RP  4 10 0.3960 0.2489 12.000
   5RP  4 12 0.4104 0.2361 12.000
   5RP  4 14 0.4225 0.2249 12.000
   5RP  4 16 0.4339 0.2139 12.000
   5RP  4 18 0.4455 0.2023 12.000
   5RP  4 20 0.4571 0.1906 12.000
   5RP  4 22 0.4656 0.1821 12.000
 7.5RP  4  2 0.3371 0.3061 12.000
 7.5RP  4  4 0.3612 0.2963 12.000
 7.5RP  4  6 0.3850 0.2859 12.000
 7.5RP  4  8 0.4072 0.2750 12.000
 7.5RP  4 10 0.4259 0.2651 12.000
 7.5RP  4 12 0.4450 0.2541 12.000
 7.5RP  4 14 0.4629 0.2437 12.000
 7.5RP  4 16 0.4799 0.2329 12.000
 7.5RP  4 18 0.4965 0.2217 12.000
 7.5RP  4 20 0.5130 0.2101 12.000
  10RP  5  2 0.3332 0.3131 19.770
  10RP  5  4 0.3594 0.3090 19.770
  10RP  5  6 0.3851 0.3039 19.770
  10RP  5  8 0.4105 0.2980 19.770
  10RP  5 10 0.4332 0.2918 19.770
  10RP  5 12 0.4579 0.2841 19.770
  10RP  5 14 0.4767 0.2776 19.770
  10RP  5 16 0.4986 0.2695 19.770
  10RP  5 18 0.5185 0.2620 19.770
  10RP  5 20 0.5396 0.2535 19.770
  2.5R  5  2 0.3360 0.3158 19.770
  2.5R  5  4 0.3660 0.3148 19.770
  2.5R  5  6 0.3960 0.3130 19.770
  2.5R  5  8 0.4252 0.3101 19.770
  2.5R  5 10 0.4533 0.3058 19.770
  2.5R  5 12 0.4820 0.3002 19.770
  2.5R  5 14 0.5047 0.2950 19.770
